number,air_pressure.,air_temp.,avg_wind_direction.,avg_wind_speed.,max_wind_direction.,max_wind_speed.,relative_humidity.
0,918.06,74.822,271.1,2.0803542,295.4,2.8632832,42.42
1,917.3476881,71.40384263,101.9351794,2.443009216,140.4715485,3.533323602,24.32869729
2,923.04,60.638,51,17.0678522,63.7,22.1009672,8.9
3,920.5027512,70.13889487,198.8321327,4.337363056,211.2033412,5.19004536,12.18910187
4,921.16,44.294,277.8,1.8566602,136.5,2.8632832,92.41
5,915.3,78.404,182.8,9.9320136,189,10.9833754,35.13
6,915.5988675,70.04330432,177.8754072,3.745586538,186.6066959,4.589632429,10.65742166
7,918.07,51.71,242.4,2.5277422,271.6,3.6462122,80.47
8,920.08,80.582,40.7,4.5186188,63,5.8831522,29.58
9,915.01,47.498,163.1,4.9436374,195.9,6.5766036,88.6
10,919.65,77.036,70.6,3.8251674,85.5,4.7646822,22.07
11,915.64,45.716,241.6,5.8607828,265.8,8.0306146,90.56
12,917.39,49.784,204.1,1.2750558,211.8,2.013246,73.15
13,920.82,62.438,213.6,2.6172198,165.7,3.3106712,43.64
14,911,86.432,202.9,1.2079476,162.9,1.677705,15.19
15,922.3831312,70.86526349,36.17417478,1.847278084,58.42863249,2.529142074,12.11088934
16,917.89,,169.2,2.1922012,196.8,2.9303914,48.99
17,916.9152554,77.01896058,234.539345,2.274725297,229.4741987,2.906513109,21.03146177
18,918.8,67.082,176.1,4.8765292,183.4,5.5699806,18.9
19,922.04,68.576,58.3,9.5517338,81.9,12.5716028,7.54
20,919.9922622,62.96438312,54.79909362,12.68043574,74.25422349,15.45230581,18.80951786
21,917.23,67.676,177.8,2.460634,93.2,3.2883018,40.64
22,921.125626,68.81877189,71.79909228,2.576537767,95.47233356,3.487443587,11.74220123
23,920.35,47.57,192.1,6.263432,205.7,7.605596,54.55
24,921.7882289,71.65957221,217.4055201,1.946446506,253.758003,2.719711659,11.19424977
25,918.03,50.666,128.9,2.5277422,117.4,4.0041226,76.88
26,914.49,49.892,163,4.8541598,189.6,6.7331894,92.1
27,914.9,78.62,203.3,1.8119214,240,2.7514362,47.89
28,915.84,40.118,171.9,10.5359874,188,12.9295132,86.43
29,916.31,45.428,183.1,8.3437862,194.6,10.0885994,86.15
30,919.35,91.112,96.4,2.5277422,96.3,3.3777794,25.62
31,916.28,55.544,174.6,2.5948504,191.7,3.3777794,79.92
32,918.7,76.226,184.6,4.0936002,194.9,4.7423128,19.17
33,918.37,63.914,53.7,14.4506324,72.1,17.0454828,19.68
34,923.6,59.882,192.8,4.2949248,203.5,5.1897008,22.47
35,917.3,85.082,149.7,2.013246,71,2.8632832,32.02
36,912.64,53.996,177.7,6.822667,190.7,8.6345884,89.77
37,914.67,64.166,137.8,2.125093,177,2.7290668,58.57
38,914.66,50.36,177.6,8.5227414,186.3,10.0214912,91.22
39,921.9699513,60.95534153,164.621486,1.664442299,195.7799675,2.367181133,12.1096289
40,919.3,64.22,182.2,10.7596814,186.5,11.7886738,34.63
41,921.09,68.666,50.7,14.204569,62.5,17.0454828,17.58
42,921.5,49.55,90.7,1.7448132,112.3,2.684328,34.35
43,914.9,64.688,174.6,5.6594582,184.5,6.8674058,43.37
44,924.2,68.882,56.3,9.8872748,69,11.8781514,14.23
45,914.54,67.658,170.2,8.2543086,184.3,10.849159,35.05
46,917.9,65.66,183.7,6.0621074,188.5,6.5094954,74.22
47,916.05,87.188,210,1.565858,109.3,2.5948504,12.88
48,920.23,67.316,153.2,1.230317,136.9,2.0803542,13.89
49,923.6636768,69.03107042,64.68990787,7.55777528,73.04923224,8.819354482,14.69250133
50,921.9,65.876,199,4.4962494,207.2,5.3239172,10.35
51,918.58,76.982,150.7,1.3197946,182,1.9461378,15.54
52,922.36,74.336,166.9,4.1830778,210,6.9121446,12.48
53,922.928409,68.92146556,54.66611121,9.7874074,82.62134109,13.33468856,8.082800654
54,923.01855,70.33053243,152.5635421,3.059696039,181.27478,4.269037625,22.85968417
55,916.42,45.014,82.8,3.0646078,129.8,4.809421,57.71
56,922.57,45.626,182.8,5.2120702,191.4,6.0173686,85.71
57,920.03,66.992,172.5,2.460634,168.1,3.3106712,29.89
58,919.09,76.766,166.2,1.2974252,199,1.8119214,19.74
59,916.18,61.304,173.6,1.7224438,209.4,2.5277422,78.78
60,917.8,73.778,181.9,0.9395148,185.3,1.5434886,11.48
61,918.54,46.652,213.6,16.4862478,221.2,18.0297364,91.36
62,918.24,61.988,78.4,4.4515106,45.1,5.8384134,60.65
63,917.02,53.258,180.2,3.131716,216.6,4.4515106,25.09
64,919.41,78.314,183.7,3.7580592,42.7,5.3910254,29.71
65,921.29,83.228,162.6,2.6619586,194,3.5567346,16.5
66,922.06,61.754,56.2,10.4241404,77,13.42164,17.7
67,925.5882714,66.35298837,56.06405656,17.52793246,67.93988014,20.97118326,14.4246214
68,917.58,69.368,180.7,6.9568834,191.7,8.6345884,28.63
69,922.2062329,57.03648251,48.36270145,12.38532935,64.90532836,15.78933106,14.9694299
70,917.7625807,82.06433413,110.2578524,2.234508146,129.7798795,3.206254488,16.57866197
71,925.0971257,57.13349912,52.96893276,14.61830695,69.00705655,19.21431385,18.64230606
72,920.7428234,74.51537627,51.42271867,13.87609399,66.85476324,16.98617834,9.406636211
73,916.75,54.572,233.5,1.5211192,231.8,2.2816788,89.84
74,922.79,53.978,182.6,1.8566602,208.2,2.6395892,17.39
75,920.1,53.492,186.1,13.4440094,193.8,15.3677778,31.47
76,922.0704549,76.74220082,165.7364076,3.771458562,205.6703539,6.004160988,13.56782358
77,921.61,38.138,46.6,4.5186188,59.6,5.5252418,29.8
78,916.22,68.252,183.1,9.9320136,190.8,11.1623306,24.66
79,915.57,61.34,174.3,4.8988986,180.6,5.5028724,13.89
80,916.8,65.444,164.4,3.5567346,196.6,4.7199434,21.61
81,917.46,58.298,182.3,5.9055216,190.3,6.934514,25.76
82,925.74,49.55,154.2,2.3264176,197.1,3.4001488,69.78
83,917.67,43.862,192.9,5.8384134,206.4,7.270055,85.18
84,920.93,63.824,196.4,7.6503348,204,8.5674802,20.63
85,916.82,50.288,73.7,2.684328,90.4,3.4225182,58.73
86,917.2683056,85.66162976,266.4934619,2.158058057,194.7025114,2.829140057,31.21856628
87,921.39,76.082,225.1,1.901399,251.1,2.572481,47.52
88,915.9144357,69.38887311,46.73617058,10.97695077,64.64468233,14.29761714,8.498335363
